segment_id,date,weekday,day_type,period,time_slot,LOS,n,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,hour,minute,year_month,is_holiday
2090,2020-08-02,6,weekend,period_23_30,47,F,2,4924631882,366426405,16,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6531594,10.7642379,106.65303,10.7641661,23,30,2020-08,False
2090,2020-08-03,0,weekday,period_0_00,0,B,8,4924631882,366426405,16,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6531594,10.7642379,106.65303,10.7641661,0,0,2020-08,False
2091,2020-08-02,6,weekend,period_23_30,47,F,2,366426405,4924631882,16,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.65303,10.7641661,106.6531594,10.7642379,23,30,2020-08,False
2091,2020-08-03,0,weekday,period_0_00,0,F,8,366426405,4924631882,16,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.65303,10.7641661,106.6531594,10.7642379,0,0,2020-08,False
2092,2020-08-02,6,weekend,period_23_30,47,F,2,366426405,4924631894,13,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.65303,10.7641661,106.6529296,10.7640903,23,30,2020-08,False
2092,2020-08-03,0,weekday,period_0_00,0,B,8,366426405,4924631894,13,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.65303,10.7641661,106.6529296,10.7640903,0,0,2020-08,False
2093,2020-08-02,6,weekend,period_23_30,47,E,2,4924631894,366426405,13,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6529296,10.7640903,106.65303,10.7641661,23,30,2020-08,False
2093,2020-08-03,0,weekday,period_0_00,0,F,8,4924631894,366426405,13,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6529296,10.7640903,106.65303,10.7641661,0,0,2020-08,False
2094,2020-08-02,6,weekend,period_23_30,47,F,2,4924631894,366424295,10,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6529296,10.7640903,106.6528565,10.7640351,23,30,2020-08,False
2094,2020-08-03,0,weekday,period_0_00,0,B,8,4924631894,366424295,10,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6529296,10.7640903,106.6528565,10.7640351,0,0,2020-08,False
2095,2020-08-02,6,weekend,period_23_30,47,D,2,366424295,4924631894,10,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6528565,10.7640351,106.6529296,10.7640903,23,30,2020-08,False
2095,2020-08-03,0,weekday,period_0_00,0,D,8,366424295,4924631894,10,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6528565,10.7640351,106.6529296,10.7640903,0,0,2020-08,False
2096,2020-08-02,6,weekend,period_23_30,47,F,2,366424295,366457256,24,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6528565,10.7640351,106.6526853,10.7638863,23,30,2020-08,False
2096,2020-08-03,0,weekday,period_0_00,0,E,8,366424295,366457256,24,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6528565,10.7640351,106.6526853,10.7638863,0,0,2020-08,False
2097,2020-08-02,6,weekend,period_23_30,47,F,2,366457256,366424295,24,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6526853,10.7638863,106.6528565,10.7640351,23,30,2020-08,False
2097,2020-08-03,0,weekday,period_0_00,0,F,8,366457256,366424295,24,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6526853,10.7638863,106.6528565,10.7640351,0,0,2020-08,False
2098,2020-08-02,6,weekend,period_23_30,47,E,2,366457256,366371762,14,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6526853,10.7638863,106.6526094,10.7637745,23,30,2020-08,False
2098,2020-08-03,0,weekday,period_0_00,0,F,8,366457256,366371762,14,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6526853,10.7638863,106.6526094,10.7637745,0,0,2020-08,False
2099,2020-08-02,6,weekend,period_23_30,47,F,2,366371762,366457256,14,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6526094,10.7637745,106.6526853,10.7638863,23,30,2020-08,False
2099,2020-08-03,0,weekday,period_0_00,0,E,8,366371762,366457256,14,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6526094,10.7637745,106.6526853,10.7638863,0,0,2020-08,False
2100,2020-08-02,6,weekend,period_23_30,47,F,2,366371762,4924631875,19,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6526094,10.7637745,106.6525266,10.7636236,23,30,2020-08,False
2100,2020-08-03,0,weekday,period_0_00,0,F,8,366371762,4924631875,19,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6526094,10.7637745,106.6525266,10.7636236,0,0,2020-08,False
2101,2020-08-02,6,weekend,period_23_30,47,F,2,4924631875,366371762,19,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6525266,10.7636236,106.6526094,10.7637745,23,30,2020-08,False
2101,2020-08-03,0,weekday,period_0_00,0,F,8,4924631875,366371762,19,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6525266,10.7636236,106.6526094,10.7637745,0,0,2020-08,False
2102,2020-08-02,6,weekend,period_23_30,47,F,2,4924631875,366374703,20,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6525266,10.7636236,106.6524361,10.7634588,23,30,2020-08,False
